Shahmukhi,IPA
باں,bɑ̃ɑ̃
بانک,bɑ̃ɑ̃k
بات,bɑɑt
بیع,bii
بین,biin
بو,boo
دا,dɑɑ
ڈانگ,dɑ̃ɑ̃g
ڈاک,dɑɑk
دام,dɑɑm
دین,deen
دو,doo
داؤن,doon
جی,dʒii
جین,dʒiin
جوں,dʒõõ
جوگ,dʒoog
جونک,dʒõõk 
جُوں,dʒũũ
جُون,dʒuun
ڈیڑھ,ɖeeɖ
گاں,gɑ̃ɑ̃
گال,gɑɑl
گاؤن,goon
کاں,kɑ̃ɑ̃
کاج,kɑɑdʒ
کھان,kʰɑɑn
کُھوہ,kʰuu
کھُونج,kʰũũdʒ
کون,koon
کُونج,kũũdʒ
کُوک,kuuk
لُون,luun
پان,pɑɑn
پِیڑ,piiɖ
پینگ,pĩĩg
پین,piin
پوہ,poo
پہنچ,põõtʃ
رُوں,rũũ
رُوپ,ruup
ساہ,sɑɑ
سیک,seek
سینک,sẽẽk
سین,siin
سو,sɔɔ
سوں,sɔ̃ɔ̃
ساون,sɔɔɳ
سُود,suud
تا,tɑɑ
تاں,tɑ̃ɑ̃
تان,tɑɑn
تھا,tʰɑɑ
تھاں,tʰɑ̃ɑ̃
تھان,tʰɑɑn
طوق,tɔɔk
تاؤن,tɔɔɳ
چاہ,tʃɑɑh
چھاں,tʃʰɑ̃ɑ̃
چھان,tʃʰɑɑn
تُوں,tũũ
وانگ,ʋɑ̃ɑ̃g
وان,ʋɑɑn
خواب,xɑɑb
خانچہ,xɑɑntʃɑɑ
خون,xuun